lesson_id,lesson_folder,grade,module_name,lesson_title_lt,slide_no,template_type,slide_role,slide_title,slide_subtitle,main_text,left_title,left_text,right_title,right_text,callout_1,callout_2,visual_kind,visual_prompt,must_show,source_refs,notes_for_export
G9-S1-M01-003,"003_L - Online risks & safe response logic",9,Sauga,"Internetinės rizikos ir saugaus reagavimo logika",4,process,core_process,"SUSTOTI -> PATIKRINTI -> PRANEŠTI","Saugaus reagavimo algoritmas",,SUSTOTI,"Nespausti nuorodų. Neatidaryti priedų. Neskubėti veikti.",PATIKRINTI,"Kas atsiuntė? Ko prašoma? Ar tai galima patvirtinti oficialiu būdu?","PRANEŠTI: kreiptis į suaugusįjį ar mokytoją","Pirmiausia nestebėti iš smalsumo",diagram,"Three-step safety response flow",true,"Teacher_Plan: safe response algorithm; README: visual aid note","Arrow order must be unmistakable."
G9-S1-M01-003,"003_L - Online risks & safe response logic",9,Sauga,"Internetinės rizikos ir saugaus reagavimo logika",5,scenario,worked_example,"Pavyzdinis phishing laiškas","Ką pastebite pirmiausia?","""Skubiai atnaujinkite slaptažodį paspausdami šią nuorodą."" | Siuntėjas: info@saugumas-lt.xyz",Požymiai,"Skubos spaudimas. | Keistas siuntėjas. | Prašoma veikti per nuorodą.",Veiksmas,"Sustoti. Patikrinti siuntėją kitu būdu. Pranešti suaugusiajam, ne spausti nuorodos.","Modeliuojamas pavyzdys prieš savarankišką darbą",,scenario-card,"Fake phishing email mockup",true,"Teacher_Plan: phishing example instruction; task situations","Use strong highlight boxes on the suspicious parts."
G9-S1-M01-003,"003_L - Online risks & safe response logic",9,Sauga,"Internetinės rizikos ir saugaus reagavimo logika",6,comparison,misinformation_vs_disinformation,"Klaidinga informacija ar dezinformacija?","Svarbu atskirti ketinimą",,Klaidinga informacija,"Platinama be pikto ketinimo. | Dažnai kyla iš nežinojimo ar skubėjimo.",Dezinformacija,"Kuriama ir platinama tyčia. | Siekiama klaidinti ar manipuliuoti.","Tikrinkite šaltinį ir datą","Stebėkite emocinę reakciją",comparison-cards,"Misinformation vs disinformation comparison",true,"Teacher_Plan: misinformation and disinformation section","Keep the distinction very crisp."
G9-S1-M01-003,"003_L - Online risks & safe response logic",9,Sauga,"Internetinės rizikos ir saugaus reagavimo logika",7,questions,end_questions,"Pamokos pabaigos klausimai",,"1. Kuo socialinė inžinerija skiriasi nuo phishing? | 2. Kaip žingsnis po žingsnio paaiškintumėte draugei, ką daryti gavus įtartiną SMS? | 3. Kodėl melagingos informacijos platinimas ""įspėjimo tikslais"" irgi kenkia?",,,,,,"3 klausimai",,none,,true,"Teacher_Plan: end questions","Use straight double quotes only."
G9-S1-M01-004,"004_L - Environmental impact of digital technologies",9,Sauga,"Skaitmeninių technologijų poveikis aplinkai",1,title,title,"Skaitmeninių technologijų poveikis aplinkai",Sauga,,,,,,,,none,,true,"Lesson README: title; Teacher_Plan: title","Keep the title centered and roomy."
G9-S1-M01-004,"004_L - Environmental impact of digital technologies",9,Sauga,"Skaitmeninių technologijų poveikis aplinkai",2,questions,start_questions,"Pradžia: internetas nėra tik debesis","Trumpas įvadas ir 2 klausimai","Internetas veikia per serverius ir duomenų centrus, kurie naudoja elektrą. | 1. Išvardinkite 3 tipinius phishing požymius. | 2. Ką reiškia SUSTOTI -> PATIKRINTI -> PRANEŠTI?",,,,,,"2 min. infrastruktūros įvadas",,none,,true,"Teacher_Plan: infrastructure intro; start questions","Separate intro text clearly from the numbered questions."
G9-S1-M01-004,"004_L - Environmental impact of digital technologies",9,Sauga,"Skaitmeninių technologijų poveikis aplinkai",3,comparison,negative_vs_positive_impact,"Skaitmeninės technologijos: žala ir nauda","Abi pusės svarbios",,Neigiamas poveikis,"Duomenų centrai naudoja daug elektros. | E-atliekos teršia aplinką. | Kasdieniai veiksmai kuria papildomą energijos poreikį.",Teigiamas poveikis,"Jutikliai ir stotys stebi oro bei vandens kokybę. | Žemėlapiai padeda matyti problemas. | Duomenys padeda priimti tikslesnius sprendimus.","Tas pats įrankis gali ir kenkti, ir padėti",,comparison-cards,"Negative vs positive impact comparison",true,"Teacher_Plan: negative impact block; ST as environmental tool block","This slide should support the lecture block."
G9-S1-M01-004,"004_L - Environmental impact of digital technologies",9,Sauga,"Skaitmeninių technologijų poveikis aplinkai",4,comparison,resource_use_examples,"Kas naudoja daugiau išteklių?","Palyginkite kasdienius veiksmus",,Daugiau išteklių,"4K vaizdo srautas. | Dideli el. laiškų priedai. | Perkrauta debesijos saugykla. | Ilgi vaizdo skambučiai.",Mažiau išteklių,"Trumpa tekstinė žinutė. | 720p vietoje 4K. | Tvarkoma pašto dėžutė. | Mažiau nereikalingų failų.","Kokybė ir kiekis turi kainą",,comparison-cards,"Daily digital actions by resource use",true,"Teacher_Plan: individual digital footprint section","Make the contrast instantly readable."
G9-S1-M01-004,"004_L - Environmental impact of digital technologies",9,Sauga,"Skaitmeninių technologijų poveikis aplinkai",5,scenario,lithuania_examples,"Kaip technologijos padeda aplinkai?","Pavyzdžiai Lietuvoje","Skaitmeninės technologijos padeda ne tik vartoti išteklius, bet ir stebėti aplinką bei spręsti problemas.",Stebėti,"AAA duomenys apie oro ir vandens kokybę. | Interaktyvūs žemėlapiai. | Triukšmo ir oro kokybės stebėsena.",Veikti,"""Tvarkau Lietuvą"" pranešimai apie nelegalius sąvartynus. | Tikslesnis problemų nustatymas.","Duomenys padeda veikti greičiau",,scenario-card,"Lithuanian environmental tools showcase",true,"Teacher_Plan: Lithuanian examples section","Keep the examples concrete and local."
G9-S1-M01-004,"004_L - Environmental impact of digital technologies",9,Sauga,"Skaitmeninių technologijų poveikis aplinkai",6,questions,end_questions,"Pamokos pabaigos klausimai",,"1. Kodėl internetas nėra vien virtualus pasaulis? | 2. Kodėl 4K vaizdo žiūrėjimas naudoja daugiau energijos nei 720p? | 3. Kaip skaitmeninės technologijos padeda spręsti aplinkos problemas Lietuvoje?",,,,,,"3 klausimai",,none,,true,"Teacher_Plan: end questions","Check line wrapping on the third question."
G9-S1-M01-005,"005_I - Scenario rotation task",9,Sauga,"Scenarijų rotacijos užduotis",1,title,title,"Scenarijų rotacijos užduotis",Sauga,,,,,,,,none,,true,"Lesson README: title; Teacher_Plan: title","Keep the title strong, not playful."
G9-S1-M01-005,"005_I - Scenario rotation task",9,Sauga,"Scenarijų rotacijos užduotis",2,questions,start_questions,"Pamokos pradžios klausimai","Kartojimas iš visų 4 temų","1. Kas yra 20-20-20 taisyklė? | 2. Kodėl kiekvienai paskyrai reikia atskiro slaptažodžio? | 3. Ką darote pirmiausiai gavę įtartiną el. laišką? | 4. Koks kasdienis veiksmas didina skaitmeninį pėdsaką?",,,,,,"4 klausimai",,none,,true,"Teacher_Plan: start questions","Keep this slide airy even with four questions."
G9-S1-M01-005,"005_I - Scenario rotation task",9,Sauga,"Scenarijų rotacijos užduotis",3,process,analysis_structure,"Kaip analizuoti scenarijų?","3 žingsnių struktūra",,Problema,"Kokia saugos rizika aprašyta? Įvardykite ją vienu sakiniu.",Taisyklė,"Kokį principą iš ankstesnių pamokų čia reikia taikyti?","Veiksmas: ką konkrečiai darytumėte?","Vertinami visi 3 žingsniai",diagram,"Three-step scenario analysis frame",true,"Teacher_Plan: task introduction","This slide should remain visible during task setup."
G9-S1-M01-005,"005_I - Scenario rotation task",9,Sauga,"Scenarijų rotacijos užduotis",4,scenario,worked_example,"Demonstracinis pavyzdys","Kaip atrodo pilnas atsakymas","Scenarijus: mokinys sėdi prie kompiuterio 4 valandas be pertraukos. Akys pradeda deginti, nugara skauda.","Problema ir taisyklė","Pažeisti ergonomikos principai. Tinka 20-20-20 taisyklė ir reguliarios pertraukos kas 45-60 min.",Veiksmas,"Padaryti pertrauką, atlikti akių pratimus, pakeisti sėdėjimo pozą, nusistatyti priminimą pertraukoms.","Pirmiausia modeliuojame, tik tada dirbame savarankiškai",,scenario-card,"Worked classroom scenario card",true,"Teacher_Plan: demonstration example","Keep scenario text distinct from the analysis blocks."
G9-S1-M01-005,"005_I - Scenario rotation task",9,Sauga,"Scenarijų rotacijos užduotis",5,comparison,analysis_checks,"Ko ieškoti kiekviename scenarijuje?","Kad atsakymas nebūtų per bendras",,Klauskite savęs,"Kokia saugos sritis čia pažeista? | Kokia konkreti taisyklė tinka? | Kas nutiks, jei nieko nedarysiu?",Venkite,"Vien žodžio ""nesaugu"". | Labai bendro patarimo ""būti atsargiam"". | Veiksmo be problemos ir taisyklės.","Neužtenka vien veiksmą parašyti",,comparison-cards,"Strong vs weak scenario analysis checklist",true,"Teacher_Plan: what to watch; common mistake; target questions","This slide should read like a real task aid."
G9-S1-M01-005,"005_I - Scenario rotation task",9,Sauga,"Scenarijų rotacijos užduotis",6,questions,end_questions,"Pamokos pabaigos klausimai","Refleksija po scenarijų analizės","1. Kurioje saugos srityje buvo sunkiausia pritaikyti taisyklę? | 2. Kuriame scenarijuje atpažinote daugiau nei vieną problemą? | 3. Kuo šiandienos užduotis skyrėsi nuo ankstesnių pamokų?",,,,,,"Refleksija, ne faktų kartojimas",,none,,true,"Teacher_Plan: end questions","Keep the reflective tone visible."
